time,velocity
-0.001407,3.020237
0.02038,3.141791
0.04372,3.306946
0.06589,3.450633
0.08802,3.600991
0.11037,3.751425
0.13263,3.929309
0.15393,4.072113
0.17733,4.238203
0.20052,4.390723
0.22163,4.428476
0.24468,4.477322
0.26683,4.406096
0.28868,4.372151
0.31097,4.272503
0.33412,4.022061
0.35576,3.806701
0.37875,3.56461
0.40064,3.360082
0.42423,3.185964
0.44518,3.056753
0.46928,3.016737
0.49071,3.00234
0.51196,3.005478
0.53518,3.073501
0.55707,3.14553
0.57982,3.334315
0.60197,3.479395
0.6237,3.55248
0.64619,3.600752
0.66881,3.654774
0.69111,3.726662
0.71391,3.787551
0.7366,3.801647
0.75837,3.771107
0.78129,3.747841
0.80293,3.781998
0.82459,3.811302
0.84817,3.865932
0.86984,3.933988
0.89189,3.970746
0.91513,3.997241
0.9367,3.948494
0.95852,3.889625
0.98233,3.840099
1.00362,3.785889
1.02635,3.691934
1.04878,3.600884
1.07022,3.463198
1.09307,3.290835
1.11593,3.144137
1.13739,3.037238
1.15977,2.897296
1.18305,2.783796
1.20514,2.659355
1.22728,2.562967
1.25085,2.490963
1.27144,2.456254
1.29422,2.436509
1.31614,2.377452
1.33933,2.358398
1.3608,2.352183
1.38412,2.356574
1.40579,2.318733
1.42782,2.317018
1.45018,2.325691
1.47268,2.358873
1.4956,2.413938
1.51789,2.560648
1.53957,2.74445
1.56268,2.894989
1.58526,2.98225
1.60723,3.101198
1.62999,3.210001
1.65181,3.307974
1.67331,3.379843
1.69666,3.448841
1.71832,3.494913
1.74165,3.487621
1.76311,3.471185
1.78636,3.396889
1.80881,3.277803
1.83041,3.177068
1.85434,3.106445
1.87477,3.111225
1.89848,3.13753
1.91938,3.213605
1.94133,3.284684
1.96446,3.351232
1.98687,3.448449
2.00857,3.533908
2.03263,3.541879
2.05373,3.53759
2.07612,3.471965
2.09937,3.358549
2.12184,3.207676
2.14371,3.028373
2.16605,2.829938
2.18784,2.645523
2.21076,2.489601
2.23306,2.369372
2.25431,2.230549
2.27758,2.129671
2.30134,1.946951
2.32203,1.906726
2.3443,1.879313
2.36713,1.860126
2.38875,1.864677
2.41094,1.964723
2.43374,2.044421
2.45606,2.091176
2.47829,2.177371
2.50054,2.356959
2.52332,2.460263
2.54564,2.569661
2.56782,2.612379
2.59001,2.600354
2.61322,2.665322
2.63564,2.737494
2.6574,2.833607
2.67998,3.029058
2.70185,3.200436
2.72385,3.400004
2.74719,3.657036
2.76902,3.897813
2.79079,4.075088
2.81367,4.212463
2.83515,4.315232
2.85757,4.423229
2.88056,4.482993
2.90347,4.503346
2.92477,4.509282
2.94802,4.511874
2.97028,4.47458
2.99218,4.416505
3.01436,4.343386
3.0372,4.208257
3.05887,4.040448
3.08349,3.885065
3.10417,3.694902
3.12595,3.475941
3.14893,3.288246
3.17071,3.129194
3.19305,2.9454
3.21659,2.809989
3.23779,2.701273
3.26013,2.616179
3.28303,2.501294
3.3049,2.415063
3.32707,2.344712
3.3496,2.271395
3.37263,2.222873
3.39448,2.145273
3.41633,2.096628
3.4385,2.020743
3.46099,1.92453
3.48379,1.813554
3.50582,1.69181
3.52841,1.563458
3.55156,1.432038
3.57296,1.351207
3.59497,1.312026
3.61816,1.266882
3.64039,1.216748
3.66213,1.204792
3.6856,1.17394
3.70685,1.179111
3.72935,1.162583
3.75148,1.128768
3.77455,1.08231
3.79592,1.090746
3.81841,1.078422
3.84134,1.10028
3.86334,1.164457
3.88512,1.249947
3.90774,1.355188
3.93053,1.473775
3.95279,1.6097
3.97644,1.742306
3.99785,1.861752
4.01995,1.965674
4.04132,2.065245
4.06485,2.108853
4.08656,2.106375
4.10854,2.135109
4.13175,2.170485
4.15334,2.16027
4.17541,2.164788
4.19925,2.145301
4.22017,2.143356
4.24269,2.104106
4.26522,2.089287
4.28751,2.106175
4.31001,2.082846
4.33276,2.092956
4.35427,2.117526
4.3766,2.165021
4.3993,2.215472
4.4223,2.296192
4.44403,2.323875
4.46631,2.339195
4.48819,2.310519
4.51075,2.246685
4.53358,2.173946
4.55532,2.142554
4.57829,2.0832
4.60067,2.007723
4.62337,1.962106
4.64528,1.956114
4.6676,1.967676
4.68882,1.995352
4.71192,2.103703
4.73578,2.164618
4.75683,2.244416
4.78063,2.319645
4.80112,2.455153
4.8243,2.623325
4.84646,2.829018
4.86834,3.010927
4.89065,3.156167
4.91312,3.269112
4.93548,3.368378
4.9578,3.390398
4.98115,3.348641
5.00238,3.306788
5.02537,3.214788
5.04742,3.083384
5.06988,2.973202
5.09205,2.881776
5.11477,2.807151
5.13601,2.697372
5.1579,2.625492
5.18164,2.585655
5.20454,2.507852
5.22653,2.454615
5.25019,2.469961
5.27089,2.504104
5.29264,2.602884
5.31534,2.705015
5.33804,2.882849
5.35931,3.115373
5.38384,3.299801
5.40557,3.456355
5.42645,3.588138
5.44989,3.75129
5.47087,3.868328
5.49395,3.960764
5.51707,3.992837
5.53799,3.972797
5.56113,3.887528
5.58362,3.803203
5.60536,3.732899
5.62783,3.675157
5.65013,3.56306
5.67209,3.409665
5.69455,3.225549
5.7175,3.070523
5.73997,2.890221
5.7612,2.693407
5.78463,2.536713
5.80688,2.506861
5.82911,2.461963
5.85196,2.500078
5.87401,2.601728
5.89613,2.703003
5.91963,2.801431
5.94079,2.882549
5.96417,2.89778
5.98666,2.861433
6.00749,2.782129
6.03108,2.668628
6.05272,2.529786
6.07442,2.424423
6.09833,2.330536
6.12096,2.295009
6.14231,2.226649
6.16485,2.298107
6.18684,2.431088
6.20969,2.613536
6.23226,2.945838
6.25383,3.227597
6.27596,3.503608
6.29846,3.843539
6.32052,4.114908
6.3432,4.315322
6.36582,4.516125
6.38824,4.683301
